Metal,Model,High_n,k,Hits,Recall,Precision,Lift,Random_hits,Random_upper_tail
Pb,C,11,21,7,0.6363636363636364,0.3333333333333333,1.303030303030303,5.372093023255814,0.21557235056951451
Pb,C,11,22,7,0.6363636363636364,0.3181818181818182,1.243801652892562,5.627906976744186,0.2720344149725886
Pb,C,11,23,7,0.6363636363636364,0.30434782608695654,1.1897233201581028,5.883720930232558,0.33488206999267695
Pb,C,11,24,7,0.6363636363636364,0.2916666666666667,1.1401515151515151,6.1395348837209305,0.40290541424971366
Pb,C,11,25,7,0.6363636363636364,0.28,1.0945454545454545,6.395348837209302,0.4745089345202788
Pb,C,11,26,8,0.7272727272727273,0.3076923076923077,1.202797202797203,6.651162790697675,0.2756102671020425
Pb,C,11,27,8,0.7272727272727273,0.2962962962962963,1.1582491582491583,6.906976744186046,0.33965194329862625
Pb,C,11,28,8,0.7272727272727273,0.2857142857142857,1.1168831168831168,7.162790697674419,0.4098976568767542
Pb,C,11,29,8,0.7272727272727273,0.27586206896551724,1.078369905956113,7.4186046511627906,0.4848264180267574
Pb,C,11,30,8,0.7272727272727273,0.26666666666666666,1.0424242424242425,7.674418604651163,0.5624312063606891
Pb,C,11,31,9,0.8181818181818182,0.2903225806451613,1.1348973607038124,7.930232558139535,0.3385712400128089
Pb,C,11,32,9,0.8181818181818182,0.28125,1.0994318181818183,8.186046511627907,0.4140023156300293
Pb,C,11,33,10,0.9090909090909091,0.30303030303030304,1.184573002754821,8.44186046511628,0.19456645928902444
Pb,C,11,34,10,0.9090909090909091,0.29411764705882354,1.1497326203208555,8.69767441860465,0.2549113197828009
Pb,C,11,35,10,0.9090909090909091,0.2857142857142857,1.1168831168831168,8.953488372093023,0.32786155113527715
Pb,C,11,36,10,0.9090909090909091,0.2777777777777778,1.0858585858585859,9.209302325581396,0.4137885063341075
Pb,C,11,37,10,0.9090909090909091,0.2702702702702703,1.0565110565110565,9.465116279069768,0.5119907408470563
Pb,C,11,38,10,0.9090909090909091,0.2631578947368421,1.0287081339712918,9.720930232558139,0.6201301062333393
Pb,C,11,39,11,1.0,0.28205128205128205,1.1025641025641026,9.976744186046512,0.291386435459039
Pb,C,11,40,11,1.0,0.275,1.075,10.232558139534884,0.40191232477108824
Pb,C,11,41,11,1.0,0.2682926829268293,1.048780487804878,10.488372093023257,0.549280177187154
Pb,C,11,42,11,1.0,0.2619047619047619,1.023809523809524,10.744186046511627,0.7441860465116279
Pb,C,11,43,11,1.0,0.2558139534883721,1.0,11.0,1.0
Cd,C,11,1,0,0.0,0.0,0.0,0.2558139534883721,1.0
Cd,C,11,2,0,0.0,0.0,0.0,0.5116279069767442,1.0
Cd,C,11,3,0,0.0,0.0,0.0,0.7674418604651163,1.0
Cd,C,11,4,0,0.0,0.0,0.0,1.0232558139534884,1.0
Cd,C,11,5,0,0.0,0.0,0.0,1.2790697674418605,1.0
Cd,C,11,6,0,0.0,0.0,0.0,1.5348837209302326,1.0
Cd,C,11,7,0,0.0,0.0,0.0,1.7906976744186047,1.0
Cd,C,11,8,0,0.0,0.0,0.0,2.046511627906977,1.0
Cd,C,11,9,0,0.0,0.0,0.0,2.302325581395349,1.0
Cd,C,11,10,0,0.0,0.0,0.0,2.558139534883721,1.0
Cd,C,11,11,0,0.0,0.0,0.0,2.813953488372093,1.0
Cd,C,11,12,0,0.0,0.0,0.0,3.0697674418604652,1.0
Cd,C,11,13,0,0.0,0.0,0.0,3.3255813953488373,1.0
Cd,C,11,14,1,0.09090909090909091,0.07142857142857142,0.2792207792207792,3.5813953488372094,0.993985176661764
Cd,C,11,15,1,0.09090909090909091,0.06666666666666667,0.2606060606060606,3.8372093023255816,0.9962666613762673
Cd,C,11,16,1,0.09090909090909091,0.0625,0.24431818181818182,4.093023255813954,0.9977333301213052
Cd,C,11,17,2,0.18181818181818182,0.11764705882352941,0.4598930481283423,4.348837209302325,0.9829580005416647
Cd,C,11,18,2,0.18181818181818182,0.1111111111111111,0.4343434343434343,4.604651162790698,0.9889959958025755
Cd,C,11,19,3,0.2727272727272727,0.15789473684210525,0.617224880382775,4.8604651162790695,0.9542171430997296
Cd,C,11,20,3,0.2727272727272727,0.15,0.5863636363636363,5.116279069767442,0.9687935740119518
